Asanas,Benefits,Description
Uttanasana (Standing Forward Bend),"Back Pain, Hamstrings Stretch, Constipation, Hair Fall, Height Increase, Glowing Skin","Stand with your feet hip-distance apart.
Inhale deeply and bring your arms out to your sides and up above your head in one smooth motion.
Exhale and gently bend at the waist, lowering your arms back down to your sides and then down to the ground.*
Let your head hang and breathe deeply as you hold this position for a few seconds.
To come up, bend your knees slightly and slowly roll yourself back up to a straight standing position. "
Balasana (Child Pose),"Back Pain, Knee Pain, Ankles Stretch, Constipation, Headache, Glowing Skin","Starting on your hands and knees, sit back and bring your hips toward your heels.
Then, stretch your arms out in front of you and place your palms on the floor.
Relax your forehead to the ground* and pause for some big, deep breaths "
Chakravakasana (Cat-Cow Pose),"Back Pain, Stiffness, Digestive Issues, Posture Correction, Stress, Anxiety","Start on your hands and knees with your hands shoulder-distance apart and your knees hip-distance apart.
Slowly inhale and look upwards towards the sky, slightly arching your back as you do so.
Then, as you slowly exhale, look back down towards the floor while drawing your belly button towards your spine, arching your back "
Bhujangasana (Cobra Pose),"Back Pain, Stiffness, Digestive Issues, Posture Correction, Height Increase, Weight Loss, Glowing Skin","Start by lying on the floor, on your front. 
Stretch your legs back and keep the tops of your feet facing the floor. 
Press the tops of your feet, thighs and pelvic bone into the floor. 
Place your hands on the floor under your shoulders, hugging your elbows into your sides. 
Inhale and straighten your arms to lift your chest off the floor, keeping your pelvic bone in contact with the floor (pictured: left). 
Hold for 15-30 seconds, taking some deep breaths. Release back to the floor as you exhale."
Sethu Bandhasana (Bridge pose),"Knee Pain, Strengthens Abdominal Muscles, Hip Flexors, Menstrual Irregularities, Menstrual Cramps, Weight Loss","Begin by lying on your back with your hands on the side.
As you inhale, lift your hips and knees by putting pressure on your hands and shoulders.
You can feel pressure in your knees and shoulders when you perform this pose.
As you exhale, slowly bring your back to the ground and place your hands on the side."
Trikonasana (Triangle pose),"Knee Pain, Balance, Focus, Posture Correction, Digestive Issues, Stress, Anxiety, Height Increase, Weight Loss, Glowing Skin","Stand erect with your feet wide apart and your toes facing opposite directions.
Stretch your arms outward and parallel to the ground.
Bend your torso to the right and place the right palm on the floor. As you do this, the left palm should be facing the sky.
Stay in this posture for at least 10 seconds.
Follow the same procedure for the other leg."
Utakatasana (Chair pose),"Knee Pain, Posture Correction, Strengthens Legs, Digestive Issues, Heart Health","Stand erect with your hands on the side and your feet apart.
Slowly bend your knees to drop your hips (imagine sitting on a chair).
Place your hands upwards and try to keep them straight.
Stay in this pose for at least 5 seconds and return to your initial position."
Veerasana (Warrior pose),"Knee Pain, Balance, Strengthens Arms, Strengthens Core, Strengthens Thighs, Strengthens Lower Back, Balance, Stamina, Stress, Anxiety, Posture Correction, Weight Loss","Stand erect with your hands stretched to the ground and your feet hip-distance apart.
Slowly bend your right knee forward while stretching your left leg.
Stay in this posture for at least 10 seconds.
Follow the same process for the left knee."
Ashwa Sanchalanasana (High lunge),"Knee Pain, Flexibility, Balance, Posture Correction","Move your left foot back into a deep lunge (stretch).
As you do this, bend your right knee forward (about 90 degrees).
Raise your arms to the sky and look ahead.
Stay in this pose for at least 10 seconds, then switch to your left knee."
Anjaneyasana (Low lunge),"Knee Pain, Posture Correction, Balance, Stress, Anxiety","Move your left leg back, lowering the knee to the floor.
As you do this, bend your right knee forward (about 90 degrees).
Raise your arms to the sky and look ahead.
Stay in this pose for at least 10 seconds, then switch to your left knee."
